source_file,source_category,market,sheet_name,column_name,inferred_role,non_missing_count,non_missing_rate,sample_values,mapped_variable_candidate,notes
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증감내역_신주종류,,30744,1.0,10 | 10 | 10,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증감내역_주식수(주),,30744,1.0,70000000 | 193379899 | 21555347,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증감내역_액면가(원),,30744,1.0,5000 | 5000 | 5000,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증감내역_할인율,,30744,1.0,0.0 | 0.0 | 0.0,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증감내역_발행가(원),,30742,0.9999,6750.0 | 13472.0 | 14950.0,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증자후자본금(천원),,30744,1.0,1629676230 | 966899495 | 1279676230,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증자유형,capital_event_type,30744,1.0,20 | 10 | 88,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,변동내역,capital_event_text,30619,0.9959,유상증자 | 설립자본금(주식이전) | 포괄적주식교환,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,신주배정방법,,30744,1.0,20 | 20 | 20,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,증자비율,capital_event_ratio,30744,1.0,0.0 | 0.0 | 0.0,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,회사명,firm_name,54095,1.0,(주)CMG제약 | (주)CMG제약 | (주)CMG제약,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,거래소코드,firm_id,54095,1.0,058820  | 058820  | 058820 ,firm_key,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,회계년도,extraction_period,54095,1.0,2025/12 | 2025/12 | 2025/12,panel_key,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,변동일,event_date,54095,1.0,2001/08/01 | 2025/04/18 | 2008/09/03,"cap_change_count_3y, cap_change_cumulative",
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증감내역_신주종류,,54095,1.0,10 | 10 | 10,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증감내역_주식수(주),,54095,1.0,9800000 | 4164289 | 131925,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증감내역_액면가(원),,54095,1.0,500 | 500 | 500,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증감내역_할인율,,54095,1.0,0.0 | 0.0 | 0.0,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증감내역_발행가(원),,54094,1.0,500.0 | 1753.0 | 3790.0,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증자후자본금(천원),,54095,1.0,4900000 | 71528266 | 6934861,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증자유형,capital_event_type,54095,1.0,10 | 21 | 21,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,변동내역,capital_event_text,53838,0.9952,설립자본금 | 전환(조정)사채 주식전환 | 전환(조정)사채주식전환,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,신주배정방법,,54095,1.0,20 | 90 | 90,,
코스닥_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSDAQ,Sheet1,증자비율,capital_event_ratio,54095,1.0,0.0 | 0.0 | 0.96,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,회사명,firm_name,20135,1.0,(주)가이아코퍼레이션 | (주)가이아코퍼레이션 | (주)가이아코퍼레이션,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,거래소코드,firm_id,20135,1.0,296520 | 296520 | 296520,firm_key,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,회계년도,extraction_period,20135,1.0,2017/12 | 2018/12 | 2019/12,panel_key,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,변동일,event_date,20135,1.0,2023/06/20 | 2023/06/20 | 2023/06/20,"cap_change_count_3y, cap_change_cumulative",
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증감내역_신주종류,,20135,1.0,10 | 10 | 10,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증감내역_주식수(주),,20135,1.0,4667008 | 4667008 | 4667008,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증감내역_액면가(원),,20135,1.0,500 | 500 | 500,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증감내역_할인율,,20135,1.0,0 | 0 | 0,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증감내역_발행가(원),,20135,1.0,4300 | 4300 | 4300,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증자후자본금(천원),,20135,1.0,2333504 | 2333504 | 2333504,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증자유형,capital_event_type,20135,1.0,10 | 10 | 10,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,변동내역,capital_event_text,19772,0.982,신규상장 | 신규상장 | 신규상장,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,신주배정방법,,20135,1.0,20 | 20 | 20,,
코넥스_전업종_자본금 변동사항.xlsx,capital_change,KONEX,Sheet1,증자비율,capital_event_ratio,20135,1.0,0.0 | 0.0 | 0.0,,
