statement_type,item_code,item_name,original_column_name,is_summary_marker,indent_level,non_missing_count,non_missing_rate,sample_min,sample_p1,sample_median,sample_p99,sample_max,unit_inferred,candidate_role_hint
손익계산서,U01B450011900,자산재평가이익(IFRS)(천원)      자산재평가이익(IFRS)(천원)(IFRS)(천원),[[U01B450011900]   자산재평가이익(IFRS)(천원)][U01B450011900]   자산재평가이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,9215795.0,천원,
손익계산서,U01B450012000,파생상품이익(IFRS)(천원)      파생상품이익(IFRS)(천원)(IFRS)(천원),[[U01B450012000]   파생상품이익(*)(IFRS)(천원)][U01B450012000]   파생상품이익(*)(IFRS)(천원)(IFRS)(천원),True,0,4400,0.9392,0.0,0.0,0.0,36875380.00000022,4802191530.0,천원,
손익계산서,U01B450012100,파생상품평가이익(IFRS)(천원)         파생상품평가이익(IFRS)(천원)(IFRS)(천원),[[U01B450012100]      파생상품평가이익(IFRS)(천원)][U01B450012100]      파생상품평가이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,11866870.000000237,3522624748.0,천원,
손익계산서,U01B450012200,파생상품거래이익(IFRS)(천원)         파생상품거래이익(IFRS)(천원)(IFRS)(천원),[[U01B450012200]      파생상품거래이익(IFRS)(천원)][U01B450012200]      파생상품거래이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,16535456.430000035,1279566782.0,천원,
손익계산서,U01B450012300,기타파생상품이익(IFRS)(천원)         기타파생상품이익(IFRS)(천원)(IFRS)(천원),[[U01B450012300]      기타파생상품이익(IFRS)(천원)][U01B450012300]      기타파생상품이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,12208000.0,천원,
손익계산서,U01B450012400,자산손상차손환입(IFRS)(천원)      자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012400]   자산손상차손환입(*)(IFRS)(천원)][U01B450012400]   자산손상차손환입(*)(IFRS)(천원)(IFRS)(천원),True,0,4400,0.9392,0.0,0.0,0.0,2692985.15,234043000.0,천원,
손익계산서,U01B450012500,재고자산손상차손(평가손실)환입(IFRS)(천원)         재고자산손상차손(평가손실)환입(IFRS)(천원)(IFRS)(천원),[[U01B450012500]      재고자산손상차손(평가손실)환입(IFRS)(천원)][U01B450012500]      재고자산손상차손(평가손실)환입(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,241640.0,천원,
손익계산서,U01B450012600,유형자산손상차손환입(IFRS)(천원)         유형자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012600]      유형자산손상차손환입(IFRS)(천원)][U01B450012600]      유형자산손상차손환입(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,84178.3100000019,234043000.0,천원,
손익계산서,U01B450012700,임대주택자산손상차손환입(IFRS)(천원)         임대주택자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012700]      임대주택자산손상차손환입(IFRS)(천원)][U01B450012700]      임대주택자산손상차손환입(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,19000.0,천원,
손익계산서,U01B450012800,무형자산손상차손환입(IFRS)(천원)         무형자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012800]      무형자산손상차손환입(IFRS)(천원)][U01B450012800]      무형자산손상차손환입(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,166659.05000000139,2732045.0,천원,
손익계산서,U01B450012810,기타포괄손익-공정가치측정 금융자산손상차손환입(IFRS)(천원)         기타포괄손익-공정가치측정 금융자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012810]      기타포괄손익-공정가치측정 금융자산손상차손환입(IFRS)(천원)][U01B450012810]      기타포괄손익-공정가치측정 금융자산손상차손환입(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,0.0,0.0,천원,
손익계산서,U01B450012820,상각후원가측정 금융자산손상차손환입(IFRS)(천원)         상각후원가측정 금융자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012820]      상각후원가측정 금융자산손상차손환입(IFRS)(천원)][U01B450012820]      상각후원가측정 금융자산손상차손환입(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,0.0,0.0,천원,
손익계산서,U01B450012900,기타자산손상차손환입(IFRS)(천원)         기타자산손상차손환입(IFRS)(천원)(IFRS)(천원),[[U01B450012900]      기타자산손상차손환입(IFRS)(천원)][U01B450012900]      기타자산손상차손환입(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,718954.7400000399,136750000.0,천원,
