ratio_id,category,sub_category,ratio_name_ko,ratio_name_en,formula_text,numerator_term_orig,numerator_item_code,numerator_item_name,numerator_statement_source,numerator_lag,numerator_is_average,numerator_is_growth,numerator_status,numerator_derived_formula,numerator_derived_components,denominator_term_orig,denominator_item_code,denominator_item_name,denominator_statement_source,denominator_lag,denominator_is_average,denominator_is_growth,denominator_status,denominator_derived_formula,denominator_derived_components,requires_lag,requires_average_denominator,requires_growth_base,unit_output,expected_good_direction,denominator_zero_policy,negative_denominator_policy,priority,availability_status,notes,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,duplicate_alias_source,duplicate_alias_policy_note,stage3_exclude,formula_item_code_fingerprint,is_canonical_ratio,canonical_ratio_id,n_valid,missing_rate,zero_denom_rate,inf_rate,p1,median,p99,same_value_rate,outlier_flag,quality_pass,fail_reasons,selected_eligible
R032,수익성,이익의 질/지속성,영업현금흐름/영업이익,,영업활동현금흐름 / 영업이익,영업활동현금흐름,U01D100000000,영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)   영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)(IFRS)(천원),현금흐름표,0,False,False,mapped,,,영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,% 또는 배,높을수록 우량,,compute_with_flag,확장,available_direct,,,,,,,False,U01D100000000|U01B430000000,True,R032,4400,0.1064,0.0,0.0,-18.3588,0.9401,26.6392,0.0002,False,True,,True
R033,수익성,이익의 질/지속성,EBITDA 대비 OCF,,영업활동현금흐름 / EBITDA,영업활동현금흐름,U01D100000000,영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)   영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)(IFRS)(천원),현금흐름표,0,False,False,mapped,,,EBITDA,U01B430000000+U01B350014100+U01B350014300,EBITDA,DERIVED,0,False,False,derivable,영업이익 + 감가상각비 + 무형자산상각비,영업이익|감가상각비|무형자산상각비,False,False,False,% 또는 배,높을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01D100000000|U01B430000000+U01B350014100+U01B350014300|영업이익|감가상각비|무형자산상각비,True,R033,4399,0.1066,0.0002,0.0,-18.6914,0.8999,14.9856,0.0002,False,True,,True
R043,안정성,레버리지/자본구조,부채비율,,부채총계 / 자기자본,부채총계,U01A800000000,부채(IFRS)(천원)   부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,핵심,available_direct,,,,,,,False,U01A800000000|U01A600000000,True,R043,4400,0.1064,0.0,0.0,0.015,0.6256,7.9919,0.0002,False,True,,True
R044,안정성,레버리지/자본구조,총부채/총자산,,부채총계 / 총자산,부채총계,U01A800000000,부채(IFRS)(천원)   부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_direct,,,,,,,False,U01A800000000|U01A100000000,True,R044,4400,0.1064,0.0,0.0,0.0319,0.3891,0.9493,0.0002,False,True,,True
R045,안정성,레버리지/자본구조,자기자본비율,,자기자본 / 총자산,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,높을수록 우량,,compute_with_flag,핵심,available_direct,,,,,,,False,U01A600000000|U01A100000000,True,R045,4400,0.1064,0.0,0.0,0.0507,0.6109,0.9681,0.0002,False,True,,True
R046,안정성,레버리지/자본구조,차입금의존도,,총차입금 / 총자산,총차입금,U01A811026700+U01A811012800+U01A811000000+U01A811027400,총차입금,DERIVED,0,False,False,derivable,단기차입금 + 장기차입금 + 사채 + 유동성장기부채,단기차입금|장기차입금|사채|유동성장기부채,총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,핵심,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000+U01A811027400|U01A100000000|단기차입금|장기차입금|사채|유동성장기부채,True,R046,4400,0.1064,0.0,0.0,0.0,0.1348,0.6139,0.1841,False,True,,True
R047,안정성,레버리지/자본구조,순차입금의존도,,순차입금 / 총자산,순차입금,U01A811026700+U01A811012800+U01A811000000+U01A111050000+U01A811027400,순차입금,DERIVED,0,False,False,derivable,총차입금 - 현금및현금성자산,단기차입금|장기차입금|사채|현금및현금성자산|유동성장기부채,총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000+U01A111050000+U01A811027400|U01A100000000|단기차입금|장기차입금|사채|현금및현금성자산|유동성장기부채,True,R047,4400,0.1064,0.0,0.0,-0.4446,0.05,0.5761,0.0002,False,True,,True
R048,안정성,레버리지/자본구조,유이자부채/총자산,,유이자부채 / 총자산,유이자부채,U01A811026700+U01A811012800+U01A811000000,유이자부채,DERIVED,0,False,False,derivable,단기차입금 + 장기차입금 + 사채,단기차입금|장기차입금|사채,총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000|U01A100000000|단기차입금|장기차입금|사채,True,R048,4400,0.1064,0.0,0.0,0.0,0.1099,0.5268,0.2209,False,True,,True
R049,안정성,레버리지/자본구조,금융부채/총부채,,금융부채 / 부채총계,금융부채,U01A811026700+U01A811012800+U01A811000000,금융부채,DERIVED,0,False,False,derivable,단기차입금 + 장기차입금 + 사채 (= 유이자부채),단기차입금|장기차입금|사채,부채총계,U01A800000000,부채(IFRS)(천원)   부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000|U01A800000000|단기차입금|장기차입금|사채,True,R049,4400,0.1064,0.0,0.0,0.0,0.3055,0.8659,0.2209,False,True,,True
R050,안정성,레버리지/자본구조,총차입금/자기자본,,총차입금 / 자기자본,총차입금,U01A811026700+U01A811012800+U01A811000000+U01A811027400,총차입금,DERIVED,0,False,False,derivable,단기차입금 + 장기차입금 + 사채 + 유동성장기부채,단기차입금|장기차입금|사채|유동성장기부채,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000+U01A811027400|U01A600000000|단기차입금|장기차입금|사채|유동성장기부채,True,R050,4400,0.1064,0.0,0.0,0.0,0.2128,3.9426,0.1841,False,True,,True
R051,안정성,레버리지/자본구조,순차입금/자기자본,,순차입금 / 자기자본,순차입금,U01A811026700+U01A811012800+U01A811000000+U01A111050000+U01A811027400,순차입금,DERIVED,0,False,False,derivable,총차입금 - 현금및현금성자산,단기차입금|장기차입금|사채|현금및현금성자산|유동성장기부채,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000+U01A111050000+U01A811027400|U01A600000000|단기차입금|장기차입금|사채|현금및현금성자산|유동성장기부채,True,R051,4400,0.1064,0.0,0.0,-0.8218,0.0745,3.5322,0.0002,False,True,,True
R052,안정성,레버리지/자본구조,유이자부채/자기자본,,유이자부채 / 자기자본,유이자부채,U01A811026700+U01A811012800+U01A811000000,유이자부채,DERIVED,0,False,False,derivable,단기차입금 + 장기차입금 + 사채,단기차입금|장기차입금|사채,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700+U01A811012800+U01A811000000|U01A600000000|단기차입금|장기차입금|사채,True,R052,4400,0.1064,0.0,0.0,0.0,0.1737,3.2334,0.2209,False,True,,True
R053,안정성,레버리지/자본구조,유동부채비율,,유동부채 / 자기자본,유동부채,U01A811026000,유동부채(IFRS)(천원)      유동부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_direct,,,,,,,False,U01A811026000|U01A600000000,True,R053,4400,0.1064,0.0,0.0,0.005,0.4383,5.5162,0.0002,False,True,,True
R054,안정성,레버리지/자본구조,비유동부채비율,,비유동부채 / 자기자본,비유동부채,U01A810000000,비유동부채 (IFRS)(천원)      비유동부채 (IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_direct,,,,,,,False,U01A810000000|U01A600000000,True,R054,4400,0.1064,0.0,0.0,0.0,0.1059,2.7564,0.0061,False,True,,True
R055,안정성,레버리지/자본구조,유동부채/총부채,,유동부채 / 부채총계,유동부채,U01A811026000,유동부채(IFRS)(천원)      유동부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,부채총계,U01A800000000,부채(IFRS)(천원)   부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_direct,,,,,,,False,U01A811026000|U01A800000000,True,R055,4400,0.1064,0.0,0.0,0.2089,0.8075,0.999,0.0061,False,True,,True
R056,안정성,레버리지/자본구조,비유동부채/총부채,,비유동부채 / 부채총계,비유동부채,U01A810000000,비유동부채 (IFRS)(천원)      비유동부채 (IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,부채총계,U01A800000000,부채(IFRS)(천원)   부채(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,False,False,False,% 또는 dummy,상황별,,compute_with_flag,확장,available_direct,,,,,,,False,U01A810000000|U01A800000000,True,R056,4400,0.1064,0.0,0.0,0.001,0.1922,0.7844,0.0061,False,True,,True
R057,안정성,레버리지/자본구조,단기차입금비중,,단기차입금 / 총차입금,단기차입금,U01A811026700,단기차입금(IFRS)(천원)         단기차입금(IFRS)(천원)(IFRS)(천원),재무상태표,0,False,False,mapped,,,총차입금,U01A811026700+U01A811012800+U01A811000000+U01A811027400,총차입금,DERIVED,0,False,False,derivable,단기차입금 + 장기차입금 + 사채 + 유동성장기부채,단기차입금|장기차입금|사채|유동성장기부채,False,False,False,% 또는 dummy,낮을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01A811026700|U01A811026700+U01A811012800+U01A811000000+U01A811027400|단기차입금|장기차입금|사채|유동성장기부채,True,R057,3590,0.2709,0.2709,0.0,0.0,0.5202,1.0,0.1691,False,False,zero_denom_high=27.1%,False
