거래소코드,year,시장
067280,2024,KOSDAQ
067310,2014,KOSDAQ
067310,2017,KOSDAQ
067570,2015,KOSDAQ
067570,2020,KOSDAQ
067570,2024,KOSDAQ
067730,2024,KOSDAQ
067920,2017,KOSDAQ
068240,2011,KOSDAQ
068400,2022,KOSPI
068790,2022,KOSDAQ
068930,2011,KOSDAQ
068930,2013,KOSDAQ
068940,2011,KOSDAQ
068940,2018,KOSDAQ
068940,2024,KOSDAQ
069140,2024,KOSDAQ
069260,2011,KOSPI
069260,2024,KOSPI
069460,2024,KOSPI
069510,2024,KOSDAQ
070300,2019,KOSDAQ
071050,2015,KOSPI
071200,2024,KOSDAQ
071320,2010,KOSPI
071320,2012,KOSPI
071320,2021,KOSPI
071840,2016,KOSPI
071970,2012,KOSPI
071970,2016,KOSPI
071970,2024,KOSPI
072020,2021,KOSDAQ
072020,2023,KOSDAQ
072990,2024,KOSDAQ
073190,2024,KOSDAQ
073240,2024,KOSPI
073490,2011,KOSDAQ
073710,2008,KOSDAQ
074130,2006,KOSDAQ
074130,2011,KOSDAQ
074130,2014,KOSDAQ
074150,2011,KOSDAQ
074150,2013,KOSDAQ
074600,2020,KOSDAQ
075130,2024,KOSDAQ
075970,2020,KOSDAQ
077280,2005,KOSDAQ
077970,2012,KOSPI
078020,2015,KOSDAQ
078020,2016,KOSDAQ
078020,2017,KOSDAQ
078020,2018,KOSDAQ
078020,2019,KOSDAQ
078020,2020,KOSDAQ
078020,2021,KOSDAQ
078020,2022,KOSDAQ
078020,2023,KOSDAQ
078020,2024,KOSDAQ
078070,2020,KOSDAQ
078070,2024,KOSDAQ
078140,2024,KOSDAQ
078150,2024,KOSDAQ
078590,2017,KOSDAQ
078930,2008,KOSPI
078940,2021,KOSDAQ
079160,2024,KOSPI
079190,2024,KOSDAQ
079550,2024,KOSPI
079650,2024,KOSDAQ
079810,2024,KOSDAQ
079900,2024,KOSPI
079940,2024,KOSDAQ
079950,2024,KOSDAQ
079960,2017,KOSDAQ
079960,2024,KOSDAQ
079980,2024,KOSPI
080000,2023,KOSDAQ
080010,2024,KOSDAQ
080160,2014,KOSDAQ
080440,2012,KOSDAQ
080520,2011,KOSDAQ
080520,2024,KOSDAQ
080530,2015,KOSDAQ
080530,2019,KOSDAQ
080530,2024,KOSDAQ
080580,2021,KOSDAQ
081580,2019,KOSDAQ
081580,2021,KOSDAQ
081660,2024,KOSPI
082920,2023,KOSDAQ
083310,2017,KOSDAQ
083310,2020,KOSDAQ
083310,2024,KOSDAQ
083450,2020,KOSDAQ
083450,2024,KOSDAQ
083650,2005,KOSDAQ
083930,2011,KOSDAQ
083930,2024,KOSDAQ
084010,2022,KOSPI
084440,2015,KOSDAQ
084440,2019,KOSDAQ
084440,2021,KOSDAQ
084650,2024,KOSDAQ
084990,2020,KOSDAQ
085670,2024,KOSDAQ
086200,2007,KOSDAQ
086280,2024,KOSPI
086450,2024,KOSDAQ
086520,2024,KOSDAQ
086670,2024,KOSDAQ
086710,2024,KOSDAQ
086790,2008,KOSPI
086790,2011,KOSPI
086790,2013,KOSPI
086790,2015,KOSPI
086890,2024,KOSDAQ
087260,2024,KOSDAQ
087600,2024,KOSDAQ
088130,2019,KOSDAQ
088290,2024,KOSDAQ
088790,2018,KOSPI
088800,2015,KOSDAQ
088800,2024,KOSDAQ
089150,2024,KOSDAQ
089240,2009,KOSDAQ
089470,2024,KOSPI
089600,2016,KOSDAQ
089600,2023,KOSDAQ
089860,2024,KOSPI
089970,2024,KOSDAQ
089980,2024,KOSDAQ
090150,2024,KOSDAQ
090350,2012,KOSPI
090360,2019,KOSDAQ
090360,2024,KOSDAQ
090710,2020,KOSDAQ
090710,2024,KOSDAQ
091120,2024,KOSDAQ
091580,2024,KOSDAQ
091590,2015,KOSDAQ
091590,2024,KOSDAQ
091810,2020,KOSPI
091810,2024,KOSPI
091990,2022,KOSDAQ
092040,2020,KOSDAQ
092590,2024,KONEX
092730,2024,KOSDAQ
092780,2023,KOSPI
092870,2024,KOSDAQ
