거래소코드,시장,산업코드,산업명,업종코드,회사명,stage00_01_context_source
189350,KONEX,,,,(주)코셋,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
456190,KONEX,,,,(주)큐라켐,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
136660,KONEX,,,,(주)큐엠씨,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
336040,KONEX,,,,(주)타스컴,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
346010,KONEX,,,,(주)타이드,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
318660,KONEX,,,,(주)타임기술,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
476710,KONEX,,,,(주)타조이엔터테인먼트,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
434190,KONEX,,,,(주)탈로스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
180060,KONEX,,,,(주)탑선,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
258050,KONEX,,,,(주)테크트랜스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
413300,KONEX,,,,(주)티엘엔지니어링,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
217880,KONEX,,,,(주)틸론,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
217950,KONEX,,,,(주)파마리서치바이오,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
202960,KONEX,,,,(주)판도라티비,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
266350,KONEX,,,,(주)팡스카이,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
327610,KONEX,,,,(주)펨토바이오메드,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
296160,KONEX,,,,(주)프로젠,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
222670,KONEX,,,,(주)플럼라인생명과학,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
331660,KONEX,,,,(주)한국미라클피플사,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
086220,KONEX,,,,광동헬스바이오(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
178600,KONEX,,,,대동고려삼(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
114920,KONEX,,,,대주이엔티(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
227420,KONEX,,,,도부(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
092590,KONEX,,,,럭스피아(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
289170,KONEX,,,,바이오텐(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
267080,KONEX,,,,세븐브로이맥주(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
149010,KONEX,,,,아이케이세미콘(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
149300,KONEX,,,,아퓨어스(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
390110,KONEX,,,,애니메디솔루션(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
260870,KONEX,,,,에스케이시그넷(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
207490,KONEX,,,,에이펙스인텍(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
059180,KONEX,,,,엔더블유시(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
332190,KONEX,,,,오션스바이오(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
140660,KONEX,,,,위월드(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
208850,KONEX,,,,이비테크(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
379390,KONEX,,,,이성씨엔아이(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
216400,KONEX,,,,인바이츠바이오코아(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
076340,KONEX,,,,지에이이노더스(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
169670,KONEX,,,,코스텍시스템(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
215570,KONEX,,,,크로넥스(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
116100,KONEX,,,,태양기계(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
052960,KONEX,,,,태양쓰리시(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
341170,KONEX,,,,퓨쳐메디신(주),data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
019120,KOSDAQ,,,,(주)경윤하이드로에너지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
058900,KOSDAQ,,,,(주)골드카운티,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
183410,KOSDAQ,,,,(주)골프존데카,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
014200,KOSDAQ,,,,(주)광림,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
329050,KOSDAQ,,,,(주)구스앤홈,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
051530,KOSDAQ,,,,(주)굿이엠지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
035780,KOSDAQ,,,,(주)그로웰텔레콤,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
272420,KOSDAQ,,,,(주)극동자동화,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
037830,KOSDAQ,,,,(주)글로포스트,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
045890,KOSDAQ,,,,(주)금빛,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
165270,KOSDAQ,,,,(주)금오하이텍,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
456700,KOSDAQ,,,,(주)길교이앤씨,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
010670,KOSDAQ,,,,(주)나노트로닉스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
071360,KOSDAQ,,,,(주)나노하이텍,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
288490,KOSDAQ,,,,(주)나라소프트,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
036850,KOSDAQ,,,,(주)나리지*온,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
192240,KOSDAQ,,,,(주)나이코,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
033220,KOSDAQ,,,,(주)남성알미늄,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
058550,KOSDAQ,,,,(주)네오리소스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
028090,KOSDAQ,,,,(주)네오퍼플,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
088020,KOSDAQ,,,,(주)네이쳐글로벌,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
950030,KOSDAQ,,,,(주)네프로아이티,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
081970,KOSDAQ,,,,(주)넥스지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
037220,KOSDAQ,,,,(주)넥스텔,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
047730,KOSDAQ,,,,(주)넷웨이브,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
037010,KOSDAQ,,,,(주)넷컴스토리지,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
283100,KOSDAQ,,,,(주)노보믹스,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
031390,KOSDAQ,,,,(주)녹십자셀,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
065560,KOSDAQ,,,,(주)녹원씨엔아이,data\raw\raw_nonfinancial\kospi_kosdaq\코스닥_전업종_폐지사 포함_계류중인 소송현황.xlsx
