거래소코드,회사명,시장,sector_7,year,split_stage4,grade_base,rating_num,grade_base_10,rating_num_10,grade_base_7,rating_num_7,grade_base_notch,rating_num_notch,R006,R064,R085,R133,R157,R182,industry_avg_rating_lag1_self_excl,cap_change_count_3y,log_assets,operating_loss_freq_3y,ratio_missing_rate,R006_iso_score,R064_iso_score,R085_iso_score,R133_iso_score,R157_iso_score,R182_iso_score,industry_avg_rating_lag1_self_excl_iso_score,cap_change_count_3y_iso_score,log_assets_iso_score,operating_loss_freq_3y_iso_score,ratio_missing_rate_iso_score,R006_imputed,R064_imputed,R085_imputed,R133_imputed,R157_imputed,R182_imputed,industry_avg_rating_lag1_self_excl_imputed,cap_change_count_3y_imputed,log_assets_imputed,operating_loss_freq_3y_imputed,ratio_missing_rate_imputed,fin_raw_alpha,nonfin_raw_alpha,fin_score_alpha,nonfin_score_alpha,R_score_alpha,R_grade_alpha_raw,R_grade_alpha,R_grade_alpha_num,R_PD_alpha,specification
013360,일성건설(주),KOSPI,UNKNOWN,2014,dev,A,3,A,3,A,3,A-,7,-0.19816515972063536,0.08156011443815168,0.03165204506200511,-0.15278807662645277,6.4681855841234634,0.061728328754429865,3.75,0,19.382186192838798,1.0,0.0,36.801072327388155,51.309602963525826,57.437425368176505,33.82636462224368,15.691109254211128,100.0,62.514404531719215,100.0,52.22487741462183,48.7322088222512,100.0,False,False,False,False,False,False,False,False,False,False,False,45.018605594273865,69.81703943876508,38.435646772937915,66.90427247717942,46.976234484210366,BB,BB,5,0.007,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2015,dev,A,3,A,3,A,3,A-,7,0.010996287006305014,0.09033652109306305,0.02430584669706413,-0.12132907279419933,8.251361854019851,-0.08045143065388902,3.8,0,19.377748385170456,1.0,0.014388489208633115,78.86632896144631,51.309602963525826,72.0634100436082,33.82636462224368,15.691109254211128,61.842884999288096,62.514404531719215,100.0,52.22487741462183,48.7322088222512,0.0,False,False,False,False,False,False,False,False,False,False,False,53.32831656009792,64.6065856388125,50.251905584158706,59.569132304732754,53.04707360033092,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2016,dev,A,3,A,3,A,3,A-,7,0.01080615152946277,0.0969414616891177,0.01953787204685038,0.12481019927302663,10.339491693456793,0.06240460647389501,3.5652173913043477,0,19.447715731513313,1.0,0.0,78.86632896144631,57.606342654986484,72.0634100436082,43.09613052585159,31.87597787522862,100.0,62.514404531719215,100.0,54.520349130198134,48.7322088222512,100.0,False,False,False,False,False,False,False,False,False,False,False,62.94928390463458,70.50429296937168,63.932747267450054,67.8717699686751,65.11445407781757,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2017,dev,A,3,A,3,A,3,A-,7,-0.020557929195272346,0.03348458673580207,0.019154361225645084,-0.032598087709147114,15.49931868428028,-0.06728198808098645,3.5454545454545454,2,19.53353308344784,0.0,0.0,59.83499288762451,50.1004464285714,72.0634100436082,35.87019565385507,40.22902939685758,61.842884999288096,62.514404531719215,73.64472398491284,54.520349130198134,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,53.11705096566595,70.62655510778401,49.95148972709924,68.04388739979899,55.379209028909166,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2018,dev,A,3,A,3,A,3,A-,7,0.009408742847801209,0.040573470372352864,0.024113789525309105,0.11504991619219036,13.445541202497813,-0.010055529122855745,3.5,2,19.54729474944707,0.0,0.0,78.86632896144631,50.1004464285714,72.0634100436082,43.09613052585159,40.22902939685758,97.90451534302893,62.514404531719215,73.64472398491284,54.520349130198134,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,62.58420648025061,70.62655510778401,63.413613768054375,68.04388739979899,64.80269585757776,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2019,dev,BBB,4,BBB,4,BBB,4,BBB+,8,0.00926232630315508,0.0400969513613225,0.020938374014401285,-0.1683880878165525,13.902131647492785,0.16508460947579326,3.0,2,19.676141384741314,0.0,0.0,78.86632896144631,50.1004464285714,72.0634100436082,33.82636462224368,40.22902939685758,100.0,100.0,73.64472398491284,54.520349130198134,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,61.948475521864104,79.04677227091913,62.50961583485365,79.8976482324158,67.72602555412229,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2020,oot,BBB,4,BBB,4,BBB,4,BBB+,8,0.01331021846462521,0.05274586861830518,0.023200467157853958,0.21078541962933575,12.612970357361275,0.5842169698472931,3.2142857142857144,0,19.514956192107615,0.0,0.0,78.86632896144631,51.309602963525826,72.0634100436082,54.11136347505147,40.22902939685758,100.0,75.9568204121688,100.0,54.520349130198134,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,64.12052754276786,80.98289553059136,65.59823455288011,82.6232717665808,70.70574571699032,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2021,oot,A,3,A,3,A,3,A,6,0.005921598832165414,0.05314785824766333,0.017396038406086854,0.07252871541712122,15.401580234884372,-0.024021137596379753,3.076923076923077,0,19.752741091003944,0.0,0.0,78.86632896144631,51.309602963525826,72.0634100436082,43.09613052585159,40.22902939685758,97.90451534302893,75.9568204121688,100.0,57.68916702196082,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,62.86769196093227,81.93162483498031,63.81672499812417,83.95886799304846,69.85936789660146,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2022,oot,A,3,A,3,A,3,A,6,0.0064307572791408325,0.055767055931355135,0.018767094681065983,-0.14186825813923584,17.124036480969508,0.139634634185154,3.4705882352941178,0,19.83112314990032,0.0,0.0,78.86632896144631,51.309602963525826,72.0634100436082,33.82636462224368,40.22902939685758,100.0,62.514404531719215,100.0,60.86898721556283,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,62.231961002545766,79.86414003027764,62.91272706492346,81.0483171218296,68.3534040819953,BBB,BBB,4,0.0031,alpha
013360,일성건설(주),KOSPI,UNKNOWN,2023,oot,BBB,4,BBB,4,BBB,4,BBB,9,0.00752241863133947,0.0590317575262065,0.012303040381471272,0.08712538913094243,22.298237848931826,-0.0016738797850728744,3.2941176470588234,0,19.817496077533974,0.0,0.0,78.86632896144631,51.309602963525826,100.0,43.09613052585159,50.363237033282594,97.90451534302893,75.9568204121688,100.0,60.86898721556283,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,67.9989699499238,82.8836481772494,71.11330956040464,85.29910147963047,75.36904713617238,A,A,3,0.0023,alpha
013700,(주)까뮤이앤씨,KOSPI,UNKNOWN,2009,dev,BBB,4,BBB,4,BBB,4,BBB+,8,0.011526407919953793,0.0696194654182277,0.01748039968311079,-0.35653181483938196,12.92796381489484,0.0872344298841015,4.076923076923077,0,19.72689086091109,0.0,0.0,78.86632896144631,51.309602963525826,72.0634100436082,33.82636462224368,40.22902939685758,100.0,30.546393125876115,100.0,57.68916702196082,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,62.231961002545766,71.73128909415188,62.91272706492346,69.59910292504706,64.91863982296053,BBB,BBB,4,0.0031,alpha
013700,(주)까뮤이앤씨,KOSPI,UNKNOWN,2010,dev,BBB,4,BBB,4,BBB,4,BBB-,10,0.008292539051542851,0.34449872134237175,0.041773927130286784,-0.19156753844409613,9.716904927060162,0.13417052829756293,3.933333333333333,0,19.68480460103743,0.0,0.0,78.86632896144631,64.53014497878354,54.70524882004503,33.82636462224368,31.87597787522862,100.0,30.546393125876115,100.0,57.68916702196082,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,61.74395114970799,71.73128909415188,62.218785874035696,69.59910292504706,64.4328809893391,BBB,BBB,4,0.0031,alpha
013700,(주)까뮤이앤씨,KOSPI,UNKNOWN,2011,dev,BBB,4,BBB,4,BBB,4,BBB+,8,-1.589479515239215,0.023807175240532285,0.12211276875160025,-0.11779723058268371,3.9886450030873304,-0.06125510995318826,3.8421052631578947,0,19.332501874021553,1.0,0.0,0.0,50.1004464285714,53.795609474662434,33.82636462224368,15.691109254211128,61.842884999288096,54.211363405637805,100.0,52.22487741462183,48.7322088222512,100.0,False,False,False,False,False,False,False,False,False,False,False,30.74193950889123,67.95196544106892,18.134485623041,64.27867023017143,31.97774100518013,BB,BB,5,0.007,alpha
013700,(주)까뮤이앤씨,KOSPI,UNKNOWN,2012,dev,BB,5,BB,5,BB,5,BB+,11,-0.03932319465142383,0.006534127887551515,0.11871397328539016,0.022903001933379182,4.029767090388348,-0.5119273017406856,3.3333333333333335,0,19.131085546420042,1.0,0.014388489208633115,59.83499288762451,42.05866228070169,53.795609474662434,35.87019565385507,15.691109254211128,0.0,64.47893608875323,100.0,49.05460702695078,48.7322088222512,0.0,False,False,False,False,False,False,False,False,False,False,False,37.690213492899794,64.09870516576353,28.01480565149767,58.8541514981288,37.266609405487,BB,BB,5,0.007,alpha
013700,(주)까뮤이앤씨,KOSPI,UNKNOWN,2013,dev,BBB,4,BBB,4,BBB,4,BBB,9,-0.11576978521053834,-0.05005115096806728,0.0950970396368815,-0.0894783965214272,3.7016306596256046,-0.30399838779058846,3.7777777777777777,0,18.937300431663914,2.0,0.0,46.94167852062597,38.487153790087454,53.795609474662434,33.82636462224368,15.691109254211128,37.25819419833842,62.514404531719215,100.0,47.14394109102998,23.629034185038872,100.0,False,False,False,False,False,False,False,False,False,False,False,37.396060279343274,64.64349965919172,27.59652509807875,59.62109889424796,37.20389723692951,BB,BB,5,0.007,alpha
